Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,.346,0.8,3.0,.250,1.5,3.5,.429,.404,1.8,2.3,.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,4144320
Jrue Holiday,PG,32,MIL,26,25,33.1,7.0,15.5,.453,2.2,6.1,.365,4.8,9.4,.510,.525,2.6,2.9,.893,1.3,4.0,5.3,7.5,1.5,0.5,3.3,2.0,18.9,33665040
Juan Toscano-Anderson,SF,29,LAL,15,1,10.6,0.8,1.9,.414,0.1,0.7,.182,0.7,1.2,.556,.448,0.3,0.5,.714,0.3,1.9,2.1,0.7,0.2,0.2,0.6,1.3,2.1,1836090
Juancho Hernangómez,PF,27,TOR,23,9,18.9,1.8,3.7,.477,0.6,2.1,.292,1.2,1.7,.711,.558,0.2,0.5,.455,1.0,3.0,3.9,0.7,0.5,0.2,0.6,1.3,4.4,1836090
Julian Champagnie,SF,21,PHI,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,
Julius Randle,PF,28,NYK,35,35,34.5,7.9,16.9,.468,2.5,7.2,.341,5.4,9.7,.562,.541,5.0,6.6,.765,2.0,7.7,9.6,3.6,0.7,0.3,2.6,3.1,23.3,23760000
Justin Champagnie,SF,21,TOR,3,0,3.7,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0,1637966
Justin Holiday,SG,33,ATL,26,0,15.4,1.8,4.7,.380,1.1,3.2,.345,0.7,1.4,.459,.500,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.5,1.3,4.7,6292440
Justin Jackson,SF,27,BOS,14,0,4.6,0.2,1.0,.214,0.2,0.9,.250,0.0,0.1,.000,.321,0.0,0.0,,0.0,0.5,0.5,0.3,0.1,0.1,0.1,0.3,0.6,1836090
Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,.409,0.5,1.6,.311,2.3,5.3,.438,.444,0.7,1.0,.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,4097561
Jusuf Nurkić,C,28,POR,30,30,28.8,5.5,10.2,.541,0.9,1.9,.464,4.6,8.3,.558,.584,2.9,4.3,.680,2.5,7.4,9.9,3.0,0.8,1.0,2.4,3.5,14.8,15625000
KZ Okpala,PF,23,SAC,22,3,8.2,0.6,1.3,.464,0.2,0.6,.385,0.4,0.7,.533,.554,0.3,0.3,1.000,0.3,1.0,1.3,0.5,0.2,0.3,0.2,1.2,1.7,1902133
Kai Jones,C,22,CHO,22,0,9.9,1.2,2.5,.500,0.1,0.5,.273,1.1,2.0,.558,.528,0.4,0.5,.727,0.9,1.4,2.2,0.2,0.2,0.5,0.4,1.4,3.0,2909040
Karl-Anthony Towns,PF,27,MIN,21,21,33.8,7.3,14.4,.505,1.8,5.6,.325,5.5,8.9,.618,.568,4.4,5.0,.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8,33833400
Kawhi Leonard,SF,31,LAC,14,12,27.9,6.1,13.4,.460,0.9,3.6,.255,5.2,9.7,.537,.495,3.0,4.0,.750,1.1,4.9,6.0,3.8,0.9,0.3,1.4,1.4,16.2,42492492
Keegan Murray,SF,22,SAC,31,29,28.6,4.2,9.9,.422,2.3,5.9,.380,1.9,4.0,.484,.536,1.0,1.3,.780,0.8,2.9,3.7,0.8,0.8,0.6,1.1,2.0,11.7,8008440
Keita Bates-Diop,SF,27,SAS,27,10,18.4,3.0,5.8,.522,0.5,1.4,.351,2.6,4.4,.575,.564,1.3,1.6,.810,1.2,1.8,3.0,0.8,0.7,0.1,0.8,0.9,7.8,1878720
Keldon Johnson,SF,23,SAS,30,30,32.6,7.4,17.9,.415,2.5,7.4,.342,4.9,10.5,.467,.486,3.5,4.8,.727,0.9,4.1,5.0,3.0,0.8,0.1,2.3,1.9,20.9,3873025
Kelly Olynyk,PF,31,UTA,33,33,28.5,4.3,8.2,.520,1.5,3.5,.431,2.8,4.7,.587,.613,2.8,3.3,.835,1.2,3.8,5.0,3.2,1.1,0.6,2.3,3.9,12.8,12804878
Kelly Oubre Jr.,SF,27,CHO,34,30,33.2,7.7,18.1,.424,2.4,7.6,.311,5.3,10.5,.506,.489,2.9,4.1,.710,1.5,3.7,5.2,1.2,1.6,0.4,1.3,3.0,20.6,12600000
Kemba Walker,PG,32,DAL,6,1,20.7,3.5,8.5,.412,1.0,4.2,.240,2.5,4.3,.577,.471,2.8,3.5,.810,0.5,2.2,2.7,2.8,0.0,0.3,0.7,1.7,10.8,10558367
Kemba Walker,PG,32,DAL,6,1,20.7,3.5,8.5,.412,1.0,4.2,.240,2.5,4.3,.577,.471,2.8,3.5,.810,0.5,2.2,2.7,2.8,0.0,0.3,0.7,1.7,10.8,10558367
Kemba Walker,PG,32,DAL,6,1,20.7,3.5,8.5,.412,1.0,4.2,.240,2.5,4.3,.577,.471,2.8,3.5,.810,0.5,2.2,2.7,2.8,0.0,0.3,0.7,1.7,10.8,10558367
Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,
Kendrick Nunn,PG,27,LAL,28,2,11.6,2.0,5.5,.364,0.8,2.7,.307,1.2,2.8,.418,.438,0.4,0.5,.923,0.0,1.0,1.1,0.9,0.2,0.0,1.0,0.8,5.3,5250000
Kennedy Chandler,PG,20,MEM,15,0,10.3,1.3,3.4,.392,0.1,0.8,.167,1.2,2.6,.462,.412,0.3,0.6,.444,0.2,1.3,1.5,2.3,0.5,0.3,0.9,0.5,3.1,1200000
Kenneth Lofton Jr.,PF,20,MEM,5,0,4.6,1.4,2.8,.500,0.0,0.2,.000,1.4,2.6,.538,.500,0.2,0.6,.333,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.6,3.0,
Kenrich Williams,PF,28,OKC,26,3,21.5,3.0,5.7,.531,0.8,2.0,.385,2.2,3.7,.611,.599,0.4,0.8,.455,1.7,2.5,4.2,1.5,0.7,0.2,0.4,2.0,7.2,2000000
Kentavious Caldwell-Pope,SG,29,DEN,33,33,31.6,4.1,8.7,.465,2.1,4.5,.456,2.0,4.2,.475,.583,1.2,1.4,.809,0.5,2.6,3.1,2.2,1.2,0.4,1.2,2.1,11.3,14004703
Kenyon Martin Jr.,SF,22,HOU,34,8,24.5,4.3,7.7,.553,0.9,2.7,.312,3.4,5.0,.686,.609,1.5,2.3,.662,1.4,3.5,4.9,1.4,0.4,0.3,1.1,1.6,10.9,1782621
Keon Ellis,SG,23,SAC,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,
Keon Johnson,SG,20,POR,15,0,13.8,2.4,6.2,.387,1.1,3.2,.333,1.3,3.0,.444,.473,0.3,0.7,.455,0.4,1.5,1.9,1.3,0.6,0.3,1.6,1.2,6.2,2681040
Kessler Edwards,SF,22,BRK,13,1,5.7,0.5,1.7,.273,0.2,0.8,.182,0.3,0.8,.364,.318,0.1,0.2,.500,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,1.2,1637966
Kevin Durant,PF,34,BRK,34,34,36.4,10.6,19.0,.560,1.8,4.8,.370,8.9,14.2,.624,.607,6.8,7.4,.928,0.4,6.6,6.9,5.4,0.8,1.5,3.5,2.5,29.9,44119845
