% ESTADÍSTICAS JUGADORES NBA
%
% Autor: Unai Salaberria
%
% Descripción: Este dataset contiene las estadísticas de todos los jugadores de la NBA en la temporada 22-23
% hasta el 26 de diciembre de 2022.
% 
% La variable clase es numérica, por lo que se trata de un problema de regresión.
%
% Número de casos: 499
%
% Número de variables: 29
%
% Clase: Salario del jugador
%
@relation my_nba

@attribute Player {'A.J. Green','A.J. Lawson','AJ Griffin','Aaron Gordon','Aaron Holiday','Aaron Nesmith','Aaron Wiggins','Admiral Schofield','Al Horford','Alec Burks','Aleksej Pokusevski','Alex Caruso','Alex Len','Alize Johnson','Alondes Williams','Alperen Şengün','Amir Coffey','Andre Drummond','Andrew Nembhard','Andrew Wiggins','Anfernee Simons','Anthony Davis','Anthony Edwards','Anthony Gill','Anthony Lamb','Austin Reaves','Austin Rivers','Ayo Dosunmu','Bam Adebayo','Ben Simmons','Bennedict Mathurin','Bismack Biyombo','Blake Griffin','Blake Wesley','Boban Marjanović','Bobby Portis','Bogdan Bogdanović','Bojan Bogdanović','Bol Bol','Bones Hyland','Bradley Beal','Brandon Boston Jr.','Brandon Clarke','Brandon Ingram','Braxton Key','Brook Lopez','Bruce Brown','Bruno Fernando','Bryce McGowens','Bryn Forbes','Buddy Boeheim','Buddy Hield','CJ McCollum','Cade Cunningham','Caleb Houstan','Caleb Martin','Cam Reddish','Cam Thomas','Cameron Johnson','Cameron Payne','Caris LeVert','Cedi Osman','Charles Bassey','Chima Moneke','Chimezie Metu','Chris Boucher','Chris Duarte','Chris Paul','Christian Braun','Christian Koloko','Christian Wood','Chuma Okeke','Clint Capela','Coby White','Cody Martin','Cole Anthony','Cole Swider','Collin Sexton','Corey Kispert','Cory Joseph','DAngelo Russell','Daishen Nix','Dalano Banton','Dalen Terry','Damian Jones','Damian Lillard','Damion Lee','Daniel Gafford','Danuel House Jr.','Dario Šarić','Darius Bazley','Darius Garland','David Duke Jr.','David Roddy','Davion Mitchell','Davon Reed','DayRon Sharpe','DeAaron Fox','DeAndre Hunter','DeAnthony Melton','DeAndre Jordan','DeMar DeRozan','Dean Wade','Deandre Ayton','Dejounte Murray','Delon Wright','Deni Avdija','Dennis Schröder','Dennis Smith Jr.','Dereon Seabron','Derrick Jones Jr.','Derrick Rose','Derrick White','Desmond Bane','Devin Booker','Devin Vassell','Devon Dotson','Devonte Graham','Dewayne Dedmon','Dillon Brooks','Domantas Sabonis','Dominick Barlow','Donovan Mitchell','Donte DiVincenzo','Dorian Finney-Smith','Doug McDermott','Draymond Green','Drew Eubanks','Dru Smith','Duane Washington Jr.','Duncan Robinson','Dwight Powell','Dyson Daniels','Davis Bertans','Edmond Sumner','Eric Gordon','Eugene Omoruyi','Evan Fournier','Evan Mobley','Facundo Campazzo','Frank Kaminsky','Frank Ntilikina','Franz Wagner','Fred VanVleet','Furkan Korkmaz','Gabe Vincent','Garrett Temple','Garrison Mathews','Gary Harris','Gary Trent Jr.','George Hill','Georges Niang','Giannis Antetokounmpo','Goga Bitadze','Goran Dragić','Gordon Hayward','Gorgui Dieng','Grant Williams','Grayson Allen','Greg Brown III','Hamidou Diallo','Harrison Barnes','Haywood Highsmith','Herbert Jones','Immanuel Quickley','Isaac Okoro','Isaiah Hartenstein','Isaiah Jackson','Isaiah Joe','Isaiah Livers','Isaiah Mobley','Isaiah Roby','Isaiah Stewart','Isaiah Todd','Ish Smith','Ish Wainright','Ivica Zubac','JD Davison','JT Thor','Ja Morant','JaMychal Green','JaVale McGee','Jabari Smith Jr.','Jabari Walker','Jack White','Jaden Hardy','Jaden Ivey','Jaden McDaniels','Jaden Springer','JaeSean Tate','Jake LaRavia','Jakob Poeltl','Jalen Brunson','Jalen Duren','Jalen Green','Jalen Johnson','Jalen McDaniels','Jalen Smith','Jalen Suggs','Jalen Williams','Jamal Cain','Jamal Murray','James Bouknight','James Harden','James Johnson','James Wiseman','Jaren Jackson Jr.','Jarred Vanderbilt','Jarrett Allen','Jarrett Culver','Jason Preston','Javonte Green','Jaxson Hayes','Jaylen Brown','Jaylen Nowell','Jaylin Williams','Jayson Tatum','Jeff Dowtin','Jeff Green','Jerami Grant','Jeremiah Robinson-Earl','Jeremy Sochan','Jericho Sims','Jevon Carter','Jimmy Butler','Jock Landale','Joe Harris','Joe Ingles','Joel Embiid','John Butler','John Collins','John Konchar','John Wall','Johnny Davis','Jonas Valanciunas','Jonathan Kuminga','Jordan Clarkson','Jordan Goodwin','Jordan Hall','Jordan McLaughlin','Jordan Nwora','Jordan Poole','Jordan Schakel','Jose Alvarado','Josh Christopher','Josh Giddey','Josh Green','Josh Hart','Josh Minott','Josh Okogie','Josh Richardson','Joshua Primo','Jrue Holiday','Juan Toscano-Anderson','Juancho Hernangómez','Julian Champagnie','Julius Randle','Justin Champagnie','Justin Holiday','Justin Jackson','Justise Winslow','Jusuf Nurkić','KZ Okpala','Kai Jones','Karl-Anthony Towns','Kawhi Leonard','Keegan Murray','Keita Bates-Diop','Keldon Johnson','Kelly Olynyk','Kelly Oubre Jr.','Kemba Walker','Kendall Brown','Kendrick Nunn','Kennedy Chandler','Kenneth Lofton Jr.','Kenrich Williams','Kentavious Caldwell-Pope','Kenyon Martin Jr.','Keon Ellis','Keon Johnson','Kessler Edwards','Kevin Durant','Kevin Huerter','Kevin Knox','Kevin Love','Kevin Porter Jr.','Kevon Harris','Kevon Looney','Khem Birch','Khris Middleton','Killian Hayes','Kira Lewis Jr.','Klay Thompson','Kristaps Porzingis','Kyle Anderson','Kyle Kuzma','Kyle Lowry','Kyrie Irving','LaMelo Ball','Lamar Stevens','Landry Shamet','Larry Nance Jr.','Lauri Markkanen','LeBron James','Leandro Bolmaro','Lindy Waters III','Lonnie Walker IV','Luguentz Dort','Luka Doncić','Luka Garza','Luke Kennard','Luke Kornet','Malachi Flynn','Malaki Branham','Malcolm Brogdon','Malcolm Hill','Malik Beasley','Malik Monk','Mamadi Diakite','MarJon Beauchamp','Marcus Morris','Marcus Smart','Mark Williams','Markelle Fultz','Markieff Morris','Marko Simonovic','Marvin Bagley III','Mason Plumlee','Matisse Thybulle','Matt Ryan','Matthew Dellavedova','Max Christie','Max Strus','Maxi Kleber','McKinley Wright IV','Mfiondu Kabengele','Micah Potter','Michael Foster Jr.','Michael Porter Jr.','Mikal Bridges','Mike Conley','Mike Muscala','Miles McBride','Mitchell Robinson','Mo Bamba','Monte Morris','Montrezl Harrell','Moritz Wagner','Moses Brown','Moses Moody','Moussa Diabaté','Myles Turner','Naji Marshall','Nassir Little','Nathan Knight','Naz Reid','Neemias Queta','Nerlens Noel','Nic Claxton','Nick Richards','Nickeil Alexander-Walker','Nicolas Batum','Nikola Jokić','Nikola Jović','Nikola Vucević','Noah Vonleh','Norman Powell','OG Anunoby','Obi Toppin','Ochai Agbaji','Onyeka Okongwu','Orlando Robinson','Oshae Brissett','Otto Porter Jr.','Ousmane Dieng','P.J. Tucker','P.J. Washington','Paolo Banchero','Pascal Siakam','Pat Connaughton','Patrick Baldwin Jr.','Patrick Beverley','Patrick Williams','Patty Mills','Paul George','Paul Reed','Payton Pritchard','Peyton Watson','Precious Achiuwa','Quentin Grimes','R.J. Hampton','RJ Barrett','Raul Neto','Reggie Bullock','Reggie Jackson','Richaun Holmes','Robert Covington','Robert Williams','Robin Lopez','Rodney McGruder','Romeo Langford','Ron Harper Jr.','Royce ONeale','Rudy Gay','Rudy Gobert','Rui Hachimura','Russell Westbrook','Ryan Arcidiacono','Ryan Rollins','Saben Lee','Saddiq Bey','Sam Hauser','Sandro Mamukelashvili','Santi Aldama','Scottie Barnes','Scotty Pippen Jr.','Serge Ibaka','Seth Curry','Shaedon Sharpe','Shai Gilgeous-Alexander','Shake Milton','Simone Fontecchio','Spencer Dinwiddie','Stanley Johnson','Stephen Curry','Steven Adams','Svi Mykhailiuk','T.J. McConnell','T.J. Warren','Taj Gibson','Talen Horton-Tucker','Tari Eason','Taurean Prince','Terance Mann','Terence Davis','Terrence Ross','Terry Rozier','Terry Taylor','Thaddeus Young','Thanasis Antetokounmpo','Theo Pinson','Thomas Bryant','Théo Maledon','Tim Hardaway Jr.','Tobias Harris','Tony Bradley','Torrey Craig','Trae Young','Tre Jones','Tre Mann','Trendon Watford','Trent Forrest','Trevelin Queen','Trevor Hudgins','Trevor Keels','Trey Lyles','Trey Murphy III','Troy Brown Jr.','Ty Jerome','TyTy Washington Jr.','Tyler Dorsey','Tyler Herro','Tyrese Haliburton','Tyrese Martin','Tyrese Maxey','Tyus Jones','Udoka Azubuike','Udonis Haslem','Usman Garuba','Vernon Carey Jr.','Victor Oladipo','Vince Williams Jr.','Vit Krejci','Vlatko Cancar','Walker Kessler','Wendell Carter Jr.','Wendell Moore Jr.','Wenyen Gabriel','Wesley Matthews','Will Barton','Willy Hernangómez','Xavier Tillman Sr.','Yuta Watanabe','Zach Collins','Zach LaVine','Zeke Nnaji','Ziaire Williams','Zion Williamson'}
@attribute Pos {SG,SF,PF,PG,C}
@attribute Age numeric
@attribute Tm {MIL,MIN,ATL,DEN,IND,OKC,ORL,BOS,DET,CHI,SAC,SAS,BRK,HOU,LAC,GSW,POR,LAL,WAS,MIA,PHO,MEM,NOP,CHO,NYK,CLE,TOR,DAL,UTA,PHI,TOT}
@attribute G numeric
@attribute GS numeric
@attribute MP numeric
@attribute FG numeric
@attribute FGA numeric
@attribute 'FG\%' numeric
@attribute 3P numeric
@attribute 3PA numeric
@attribute '3P\%' numeric
@attribute 2P numeric
@attribute 2PA numeric
@attribute '2P\%' numeric
@attribute 'eFG\%' numeric
@attribute FT numeric
@attribute FTA numeric
@attribute 'FT\%' numeric
@attribute ORB numeric
@attribute DRB numeric
@attribute TRB numeric
@attribute AST numeric
@attribute STL numeric
@attribute BLK numeric
@attribute TOV numeric
@attribute PF numeric
@attribute PTS numeric
@attribute Salary numeric

@data
'Donte DiVincenzo',SG,26,GSW,25,6,21.3,2.3,5.8,0.393,1.5,4,0.374,0.8,1.8,0.435,0.521,0.6,0.8,0.8,0.8,3.5,4.3,2.9,1.2,0.1,1.4,2,6.7,4500000
'Dorian Finney-Smith',PF,29,DAL,31,31,31.6,3,7.5,0.401,1.9,5.4,0.345,1.1,2.1,0.547,0.526,0.5,0.8,0.64,1.4,2.6,4,1.2,1,0.5,0.9,1.9,8.4,12402000
'Doug McDermott',SF,31,SAS,29,0,20.6,3.9,8.4,0.467,2,4.9,0.413,1.9,3.5,0.545,0.588,0.7,0.9,0.741,0.3,1.8,2.1,1.4,0.1,0.2,1,1.7,10.6,13750000
'Draymond Green',PF,32,GSW,31,31,30.8,3.3,6.2,0.529,0.5,1.6,0.314,2.7,4.5,0.607,0.571,1,1.4,0.721,0.7,5.7,6.4,6.7,0.7,0.7,2.5,2.9,8,25806468
'Drew Eubanks',C,25,POR,32,4,17.9,2.5,3.3,0.752,0.1,0.1,0.667,2.4,3.2,0.755,0.762,0.8,1.2,0.667,1.5,2.7,4.2,0.9,0.4,1,0.8,1.9,5.8,1836090
'Dru Smith',SG,25,MIA,5,1,13.4,1,2.8,0.357,0.2,1.2,0.167,0.8,1.6,0.5,0.393,0,0,?,0.2,1.6,1.8,1,0.8,0.6,0.2,2,2.2,?
'Duane Washington Jr.',SG,22,PHO,18,0,10.6,2.7,6.7,0.397,1.1,3.2,0.351,1.6,3.6,0.438,0.479,0.2,0.4,0.429,0,1,1,1.5,0.1,0.1,0.7,0.5,6.6,?
'Duncan Robinson',SF,28,MIA,24,0,18.3,2.3,6.3,0.364,1.7,5,0.333,0.6,1.3,0.484,0.497,0.8,0.8,0.9,0.3,1.9,2.1,1.3,0.3,0,0.8,2,7,16902000
'Dwight Powell',C,31,DAL,30,23,17.4,2.1,3,0.692,0,0.1,0,2.1,3,0.708,0.692,1.3,2,0.678,1.8,1.7,3.5,0.5,0.5,0.4,0.8,2.7,5.5,11080125
'Dyson Daniels',PG,19,NOP,24,5,19.8,2,4.1,0.475,0.6,1.6,0.395,1.3,2.5,0.525,0.551,0.6,0.9,0.682,0.6,2.9,3.5,2.2,0.8,0.2,0.9,2.1,5.2,5508600
'Davis Bertans',PF,30,DAL,16,0,9.6,1.5,3.6,0.414,1.3,3.2,0.412,0.2,0.4,0.429,0.595,0.6,0.8,0.833,0.3,0.6,0.9,0.3,0.2,0.1,0.3,1.2,4.9,16000000
'Edmond Sumner',SG,27,BRK,29,9,15.2,2.5,5.5,0.45,0.6,1.9,0.286,1.9,3.6,0.538,0.5,1.8,1.9,0.929,0.3,1.1,1.5,1.5,0.9,0.2,1,1.7,7.3,1968175
'Eric Gordon',SG,34,HOU,28,28,29.8,3.9,9.5,0.415,1.9,5.4,0.347,2.1,4.1,0.504,0.513,1.8,2.1,0.845,0.3,1.7,2,2.4,0.6,0.4,1.8,0.8,11.5,19568360
'Eugene Omoruyi',SF,25,OKC,15,1,12.8,2.3,4.8,0.472,0.5,1.9,0.286,1.7,2.9,0.591,0.528,0.9,1.3,0.684,1,1.7,2.7,0.6,0.8,0,0.7,2.3,5.9,?
'Evan Fournier',SG,30,NYK,13,7,20,2.4,6.9,0.344,1.5,4.4,0.333,0.9,2.5,0.364,0.45,0.7,0.8,0.818,0.2,1.9,2.1,1.7,0.7,0.2,1.1,2.2,6.9,18000000
'Evan Mobley',PF,21,CLE,35,35,34.1,5.9,10.5,0.558,0.3,1.1,0.225,5.6,9.4,0.599,0.57,2.6,3.7,0.703,2.5,6.5,9,2.6,0.7,1.3,2,2.8,14.6,8478720
'Facundo Campazzo',PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.346,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3,?
'Frank Kaminsky',C,29,ATL,16,0,7.8,1.1,1.9,0.567,0.5,1.1,0.444,0.6,0.8,0.75,0.7,0.5,0.5,1,0.1,1.5,1.6,1,0.1,0,0.4,0.9,3.1,1836090
'Frank Ntilikina',PG,24,DAL,16,0,12.5,0.9,2.8,0.311,0.4,1.5,0.25,0.5,1.3,0.381,0.378,0.5,0.7,0.727,0.1,1.3,1.4,1.3,0.3,0.1,0.8,1.4,2.6,2036318
'Franz Wagner',SF,21,ORL,35,35,33.3,7.1,14.7,0.479,1.5,4.4,0.348,5.5,10.3,0.535,0.531,4,4.6,0.876,0.9,3.1,4,3.4,0.8,0.3,2.3,2.3,19.7,5258280
'Fred VanVleet',PG,28,TOR,28,28,36.7,5.9,15.5,0.382,2.8,8.4,0.331,3.1,7.1,0.442,0.471,3.8,4.4,0.877,0.5,3.4,3.9,6.1,1.6,0.5,1.9,2.7,18.5,21250000
'Furkan Korkmaz',SG,25,PHI,18,0,11.3,1.3,3.4,0.387,0.6,1.7,0.333,0.8,1.8,0.438,0.468,1,1.4,0.72,0.2,1.1,1.3,0.9,0.2,0.1,0.7,0.5,4.2,5000000
'Gabe Vincent',PG,26,MIA,20,0,24.5,3.3,8.3,0.394,1.4,4.8,0.295,1.9,3.5,0.529,0.479,1.1,1.3,0.84,0.3,1.8,2.1,2.8,0.9,0.1,1.3,2.6,9,1815677
'Garrett Temple',SG,36,NOP,12,0,8.1,0.8,2.2,0.385,0.5,1.3,0.375,0.3,0.8,0.4,0.5,0.3,0.3,0.75,0.2,0.6,0.8,0.4,0.7,0.1,0.3,0.8,2.4,5155500
'Garrison Mathews',SG,26,HOU,27,0,13.1,1.3,3.4,0.376,1.2,3.3,0.364,0.1,0.2,0.6,0.548,1.1,1.1,0.935,0.2,1,1.1,0.5,0.6,0.1,0.3,1.3,4.9,2000000
'Gary Harris',SG,28,ORL,8,3,24.1,3.6,7.1,0.509,1.5,3.4,0.444,2.1,3.8,0.567,0.614,1.3,1.3,1,0.6,2.1,2.8,1.8,0.6,0.3,1.3,1.9,10,13000000
'Gary Trent Jr.',SG,24,TOR,27,18,30.9,5.9,13.6,0.434,2.3,6.6,0.343,3.6,7,0.521,0.518,2.7,3.4,0.783,0.5,1.5,2,1.4,1.6,0.1,1.1,1.6,16.7,17505000
'George Hill',PG,36,MIL,29,0,19.8,1.6,3.8,0.427,0.7,2.1,0.317,1,1.7,0.56,0.514,1,1.4,0.714,0.4,1.8,2.2,2.6,0.4,0.1,0.9,1.2,4.9,4000000
'Georges Niang',PF,29,PHI,31,0,20.3,3.3,7.4,0.439,2.3,5.6,0.411,0.9,1.8,0.527,0.596,0.6,0.7,0.909,0.2,2.1,2.3,1,0.5,0.3,0.8,2.2,9.5,3465000
'Giannis Antetokounmpo',PF,28,MIL,28,28,33.3,11.2,20.9,0.536,0.8,3.1,0.253,10.4,17.8,0.586,0.555,8.1,12.5,0.644,2.1,9.1,11.2,5.1,0.9,0.9,3.8,3.6,31.2,42492492
'Goga Bitadze',C,23,IND,17,0,9.9,1.5,2.6,0.568,0.2,0.7,0.25,1.3,1.9,0.688,0.602,0.5,1.1,0.5,1,1.2,2.2,0.9,0.4,0.5,0.6,1.8,3.6,4765339
'Goran Dragić',PG,36,CHI,31,0,17,3,6.9,0.441,1.2,2.9,0.4,1.9,4,0.472,0.526,0.7,1.2,0.639,0.4,1.1,1.5,3,0.2,0.1,1.2,1.4,8,1836090
'Gordon Hayward',SF,32,CHO,18,18,33,5.6,12.6,0.441,1.3,3.9,0.324,4.3,8.7,0.494,0.491,2.4,3.2,0.772,1,4,5,3.9,0.8,0.2,2.2,1.1,14.8,30075000
'Gorgui Dieng',C,33,SAS,12,1,11.8,1.5,3.7,0.409,0.8,2.6,0.29,0.8,1.1,0.692,0.511,0.3,0.3,0.75,1,2.3,3.3,1.8,0.1,0.4,1,1.8,4,1836090
'Grant Williams',PF,24,BOS,34,14,27.9,3.2,6.2,0.514,1.7,3.8,0.438,1.5,2.4,0.638,0.65,1.2,1.4,0.833,1,3.5,4.6,1.6,0.8,0.3,0.9,2.6,9.2,4306281
'Grayson Allen',SG,27,MIL,30,28,27.4,3.3,7.3,0.457,1.7,4.2,0.402,1.6,3.1,0.533,0.573,1.8,2,0.932,0.9,2.7,3.6,2.5,0.7,0.2,1.1,1.3,10.2,8500000
'Greg Brown III',PF,21,POR,10,0,6.7,0.8,1.9,0.421,0.1,0.5,0.2,0.7,1.4,0.5,0.447,0.2,0.8,0.25,0.2,0.9,1.1,0,0.4,0.5,0.5,0.8,1.9,1563518
'Hamidou Diallo',SG,24,DET,29,0,14.5,2.4,4.9,0.5,0.1,0.4,0.154,2.4,4.4,0.535,0.507,1.4,2.4,0.609,0.9,1.9,2.8,0.9,0.6,0.2,0.8,2,6.4,5200000
'Harrison Barnes',PF,30,SAC,32,32,31.8,4.3,9,0.478,1.2,3.9,0.306,3.1,5.2,0.606,0.543,4,5,0.811,0.9,4.5,5.5,1.8,0.8,0.1,1.3,1.4,13.8,18352273
'Haywood Highsmith',SF,26,MIA,23,2,20.2,1.7,4.5,0.385,0.7,2.2,0.34,1,2.3,0.426,0.466,0.3,0.7,0.375,1,2.9,3.9,0.9,1,0.4,0.7,1.3,4.5,1752638
'Herbert Jones',SF,24,NOP,23,23,28.4,3.6,8.2,0.436,0.9,3,0.3,2.7,5.1,0.517,0.492,2.5,3.2,0.77,1.2,2.3,3.5,2.2,1.3,0.7,1.2,3.4,10.5,1785000
'Immanuel Quickley',PG,23,NYK,35,2,24.6,3.7,9.1,0.403,1.4,4.4,0.327,2.2,4.7,0.473,0.481,1.8,2.2,0.842,0.5,3.3,3.8,3.2,1,0.1,1.3,1.9,10.6,2316240
'Isaac Okoro',SG,22,CLE,35,8,18.7,1.7,4,0.421,0.5,1.9,0.25,1.2,2.1,0.583,0.482,0.9,1.1,0.816,0.5,1.6,2.1,0.8,0.6,0.4,0.6,1.8,4.7,7040880
'Isaiah Hartenstein',C,24,NYK,35,7,19.9,2.4,4.7,0.512,0.2,0.9,0.267,2.2,3.8,0.567,0.537,0.7,0.8,0.793,2.8,3.8,6.6,0.8,0.6,0.8,0.9,2.4,5.7,7804879
'Isaiah Jackson',PF,21,IND,29,3,15.6,2.5,4.6,0.553,0,0.2,0.167,2.5,4.3,0.571,0.557,1.7,2.5,0.694,1.4,2.7,4.1,1,0.5,1.1,0.9,2.3,6.8,2573760
'Isaiah Joe',SG,23,OKC,27,1,12,2.1,4.4,0.467,1.6,3.6,0.449,0.4,0.8,0.545,0.65,0.7,0.9,0.826,0.1,1.7,1.8,1,0.6,0.1,0.5,1.2,6.5,3618711
'Isaiah Joe',SG,23,OKC,27,1,12,2.1,4.4,0.467,1.6,3.6,0.449,0.4,0.8,0.545,0.65,0.7,0.9,0.826,0.1,1.7,1.8,1,0.6,0.1,0.5,1.2,6.5,3618711
'Isaiah Livers',PF,24,DET,22,7,19.5,1.9,4.7,0.404,1.3,3.7,0.358,0.6,1,0.565,0.543,0.7,0.9,0.75,0.5,1.8,2.3,0.6,0.4,0.5,0.6,1.9,5.8,1563518
'Isaiah Mobley',PF,23,CLE,8,0,3.3,0.5,1,0.5,0.1,0.3,0.5,0.4,0.8,0.5,0.563,0,0,?,0.1,1.3,1.4,0,0.1,0,0,0.3,1.1,?
'Isaiah Roby',PF,24,SAS,28,1,11,1.6,3.5,0.449,0.5,1.5,0.333,1.1,2,0.536,0.52,0.4,0.8,0.435,0.4,2,2.4,1.1,0.4,0.2,0.6,1.2,4,1930681
'Isaiah Stewart',C,21,DET,29,29,28.2,4,8.4,0.473,1.6,4.1,0.381,2.4,4.3,0.56,0.566,2.2,3,0.747,2.1,5.9,8,1.2,0.3,0.8,1.3,2.7,11.7,3433320
'Isaiah Todd',PF,21,WAS,4,0,3.3,0.3,1,0.25,0,0.8,0,0.3,0.3,1,0.25,0,0,?,0,0,0,0,0,0,0,0,0.5,1575000
'Ish Smith',PG,34,DEN,14,0,9.2,1.3,3.3,0.391,0.1,0.4,0.333,1.1,2.9,0.4,0.413,0.1,0.1,0.5,0.1,0.9,1,1.8,0.3,0.4,1,0.6,2.8,4725000
'Ish Wainright',SF,28,PHO,18,1,13.8,1.1,3,0.37,0.8,2.2,0.359,0.3,0.8,0.4,0.5,0.2,0.4,0.571,1.2,1.1,2.3,0.9,0.6,0.3,0.3,1.7,3.2,?
'Ivica Zubac',C,25,LAC,34,34,29.9,4,6.4,0.622,0,0,0,4,6.4,0.625,0.622,2.3,3.3,0.69,3.5,7.5,11,1.1,0.4,1.5,2.1,3.1,10.2,10123457
'JD Davison',PG,20,BOS,3,0,2.7,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,0,0,?,0,0.3,0.3,0.3,0.3,0,0.3,0,0.7,?
'JT Thor',PF,20,CHO,22,0,10.3,0.9,2.5,0.352,0.2,1.3,0.179,0.6,1.2,0.538,0.398,0.5,0.7,0.733,0.5,1.2,1.7,0.5,0.3,0.2,0.5,0.7,2.5,1563518
'Ja Morant',PG,23,MEM,28,28,32.4,9.4,20.9,0.45,1.8,5.3,0.329,7.6,15.6,0.491,0.491,6.5,8.8,0.744,1.3,5,6.3,7.8,1,0.2,3.7,1.9,27.1,12119440
'JaMychal Green',PF,32,GSW,28,1,14.9,2.3,4.5,0.512,0.5,1.8,0.265,1.8,2.7,0.671,0.564,0.8,1.1,0.733,1.4,2.6,4,0.8,0.5,0.4,1.1,2,5.8,10036090
'JaMychal Green',PF,32,GSW,28,1,14.9,2.3,4.5,0.512,0.5,1.8,0.265,1.8,2.7,0.671,0.564,0.8,1.1,0.733,1.4,2.6,4,0.8,0.5,0.4,1.1,2,5.8,10036090
'JaVale McGee',C,35,DAL,22,7,8.4,1.8,2.9,0.625,0,0.2,0.25,1.8,2.7,0.65,0.633,0.6,1.1,0.542,0.7,1.7,2.4,0.2,0.1,0.5,0.9,1.1,4.3,5461219
'Jabari Smith Jr.',PF,19,HOU,33,33,30.3,4.2,11,0.383,2,5.8,0.337,2.2,5.2,0.435,0.472,1.7,2,0.833,1.3,5.9,7.2,0.8,0.5,1,1.4,3.1,12.1,8882640
'Jabari Walker',SF,20,POR,18,0,7.3,0.7,1.8,0.375,0.2,0.6,0.273,0.5,1.2,0.429,0.422,0.2,0.3,0.667,0.5,1.3,1.8,0.6,0.1,0.2,0.3,0.8,1.7,1017781
'Jack White',SF,25,DEN,8,0,3.3,0.1,0.8,0.167,0,0.3,0,0.1,0.5,0.25,0.167,0,0,?,0.3,0.4,0.6,0,0.1,0.3,0,0.5,0.3,?
'Jaden Hardy',SG,20,DAL,10,0,6.5,1.4,4.1,0.341,0.1,1.2,0.083,1.3,2.9,0.448,0.354,0.9,0.9,1,0,0.8,0.8,0.3,0.1,0.2,0.3,0.9,3.8,1017781
'Jaden Ivey',SG,20,DET,32,31,30.3,5.4,13.1,0.416,1.4,4.3,0.317,4.1,8.7,0.466,0.469,3.3,4.6,0.719,1.1,3.1,4.2,4,1.1,0.3,2.6,2.9,15.5,7252200
'Jaden McDaniels',PF,22,MIN,31,31,30.6,4.5,8.5,0.525,1.2,3.2,0.378,3.3,5.3,0.612,0.595,1.2,1.5,0.766,1.2,2.3,3.5,1.6,1.1,1.2,1.5,3.5,11.3,2161440
'Jaden Springer',PG,20,PHI,4,0,2.8,0.5,1.3,0.4,0,0,?,0.5,1.3,0.4,0.4,0.3,0.5,0.5,0.3,0.5,0.8,0,0,0.5,0.3,0.5,1.3,2125200
'JaeSean Tate',SF,27,HOU,3,2,22.7,3.3,6.7,0.5,0.7,1.7,0.4,2.7,5,0.533,0.55,1,1.3,0.75,2.7,1.7,4.3,3.3,1,0,1.7,5,8.3,7065217
'Jake LaRavia',PF,21,MEM,21,0,15.5,1.4,3.5,0.411,0.9,2.4,0.373,0.5,1,0.5,0.541,0.3,0.3,0.857,0.8,1.8,2.6,0.9,0.5,0.1,0.7,1.8,4,3047640
'Jakob Poeltl',C,27,SAS,26,26,26.2,5.4,8.2,0.657,0,0,?,5.4,8.2,0.657,0.657,1.4,2.7,0.536,3.3,5.7,8.9,2.9,0.9,1.1,2.2,2.5,12.2,9398148
'Jalen Brunson',PG,26,NYK,34,34,32.5,7.3,15.8,0.46,1.5,4.2,0.366,5.7,11.6,0.494,0.508,4.1,4.8,0.87,0.4,2.8,3.2,6.6,1.1,0.1,2,2.4,20.2,27733332
'Jalen Duren',C,19,DET,33,9,24,3.2,5.2,0.629,0,0,0,3.2,5.1,0.633,0.629,1.1,2,0.569,3.3,5,8.3,0.8,0.6,0.8,1.2,2.5,7.6,4124280
'Jalen Green',SG,20,HOU,34,34,34.5,7.4,17.6,0.417,2.3,7.2,0.317,5.1,10.4,0.487,0.482,4.6,5.8,0.796,0.6,3.8,4.4,3.6,0.8,0.2,2.9,1.6,21.6,9441840
'Jalen Johnson',SF,21,ATL,32,6,15.6,1.8,4.3,0.434,0.3,1.5,0.204,1.5,2.7,0.563,0.471,0.7,1,0.71,0.6,3.1,3.7,1.1,0.5,0.5,0.5,1.8,4.7,2792640
'Jalen McDaniels',SF,25,CHO,35,10,26,3.8,8.5,0.45,1.3,3.5,0.364,2.6,5.1,0.508,0.523,1.7,1.9,0.894,0.9,3.7,4.6,2.2,1,0.5,1.3,3,10.6,1930681
'Jalen Smith',PF,22,IND,34,27,21,3.8,8.4,0.446,1,3.7,0.278,2.7,4.7,0.578,0.507,1.6,2.1,0.771,1.7,4.7,6.4,1,0.3,1,1.2,2.2,10.1,4670160
'Jalen Suggs',PG,21,ORL,14,13,28.9,4.6,11.1,0.419,1.4,4.9,0.294,3.2,6.2,0.517,0.484,1.6,2.5,0.657,1.1,2.2,3.3,5.4,1.6,0.6,3.4,3.1,12.4,6922320
'Jalen Williams',SG,21,OKC,30,17,27.4,4.5,8.8,0.51,0.7,2.5,0.27,3.8,6.3,0.603,0.548,1.5,2,0.75,0.7,2.9,3.6,2.7,0.6,0.4,1.6,2.6,11.1,4341480
